,MNKD
Price/Earnings (TTM),
Price/Sales (TTM),15.57227
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,0.8
5yr High,6.25
5yr Avg Return,0.19201666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1546526
Dividend Growth 5yr,
Short Int Current Month,35045673.0
Short Int Prev Month,35037378.0
Short Int Pct of Float,0.1418742
Days to Cover,6.53459
Float,246.9192
Shares Outstanding,263.1956
Institutions Holding Shares,225.0
% Held by Institutions,0.47997100000000004
FCF Growth 5yr,0.36987386600002675
