,UCTT
Price/Earnings (TTM),27.25728
Price/Sales (TTM),0.63863
Price/Book (MRQ),1.77851
Price/Cash Flow (TTM),10.79791
5yr Low,6.94
5yr High,65.33
5yr Avg Return,0.30316666666666664
EPS Growth 5yr,0.5475728
Revenue Growth 5yr,0.301504
Dividend Growth 5yr,
Short Int Current Month,822856.0
Short Int Prev Month,961217.0
Short Int Pct of Float,0.0185147
Days to Cover,2.81831
Float,44.50794
Shares Outstanding,45.49664
Institutions Holding Shares,286.0
% Held by Institutions,0.862355
FCF Growth 5yr,-1.2850055195911962
