,NUE
% Below High,0.20600000000000002
% Held by Institutions,0.8086
52-Wk Range,['88.50 - 187.90']
Annual Dividend $,2.0
Annual Dividend %,0.0134
Ask,148.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,147.25
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,149.19
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",32.1
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.48
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,149.19
Market Cap,38.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.65
Prev Close,149.19
Shares Outstanding,256.5M
Short Interest,0.0337
Today's Open,
Volume,511.0
Volume 10-day Avg,1895935.0
Volume Past Day,(Light)
