,NUE
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.22761358623731787
Growth 1yr High Est,0.19839357429718874
Growth 1yr Consensus Est,0.2130035802672533
Growth 2yr Low Est,-0.23797186300782325
Growth 2yr High Est,-0.1213125962294217
Growth 2yr Consensus Est,-0.17964222961862247
Growth 5yr Low Est,-0.23797186300782325
Growth 5yr High Est,-0.1213125962294217
Growth 5yr Consensus Est,-0.17964222961862247
Growth 5yr Actual/Est,1.3847909417179602
Growth 3yr Historic,1.4711409276701617
