,TPX
% Above Low,0.5652
% Held by Institutions,0.9828
52-Wk Range,['20.03 - 48.97']
Annual Dividend $,0.4
Annual Dividend %,0.0127
Ask,31.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,30.9
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,31.35
Day Change $,-0.11
Day Change %,-0.0034999999999999996
Day High,31.54
Day Low,30.98
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.552
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.09
Prev Close,31.46
Shares Outstanding,171.0M
Short Interest,0.0584
Today's Open,31.09
Volume,2055186.0
Volume 10-day Avg,1520222.0
Volume Past Day,(Heavy Day)
