,TPX
Price/Earnings (TTM),11.09301
Price/Sales (TTM),1.05611
Price/Book (MRQ),
Price/Cash Flow (TTM),8.19121
5yr Low,5.5
5yr High,50.51
5yr Avg Return,0.25475
EPS Growth 5yr,0.2925475
Revenue Growth 5yr,0.0987068
Dividend Growth 5yr,
Short Int Current Month,9706277.0
Short Int Prev Month,11493833.0
Short Int Pct of Float,0.0583549
Days to Cover,3.42699
Float,166.4459
Shares Outstanding,170.9843
Institutions Holding Shares,409.0
% Held by Institutions,0.982848
FCF Growth 5yr,-2.1477211034807024
