,TPX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.21604938271604945
Growth 1yr High Est,-0.20731707317073167
Growth 1yr Consensus Est,-0.21168322794339056
Growth 2yr Low Est,-0.2044813842714106
Growth 2yr High Est,-0.026735459662288963
Growth 2yr Consensus Est,-0.11560842196684978
Growth 5yr Low Est,-0.2044813842714106
Growth 5yr High Est,-0.026735459662288963
Growth 5yr Consensus Est,-0.11560842196684978
Growth 5yr Actual/Est,0.359095839719804
Growth 3yr Historic,0.3950392670157068
