,OSH
% Above Low,0.48009999999999997
% Held by Institutions,0.9776
52-Wk Range,['13.29 - 35.61']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,19.52
Bid Size,100.0
Day Change $,0.25
Day Change %,0.0129
Day High,19.81
Day Low,19.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.27
Ex-dividend Date,No dividend
Historical Volatility,0.8490000000000001
Last (size),10.0
Last (time),9:42a ET 11/28/22
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.42
Price,19.67
Shares Outstanding,242.9M
Short Interest,0.1303
Today's Open,19.37
Volume Past Day,(Light)
