,OSH
Price/Earnings (TTM),
Price/Sales (TTM),2.38579
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,13.29
5yr High,66.31
5yr Avg Return,-0.14283333333333337
Short Int Current Month,20702498.0
Short Int Prev Month,21545017.0
Short Int Pct of Float,0.1302539
Days to Cover,9.76122
Float,220.3241
Shares Outstanding,242.9159
Institutions Holding Shares,309.0
% Held by Institutions,0.9776130000000001
FCF Growth 5yr,0.21845285711453055
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
