,OSH
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.22340425531914887
Growth 1yr High Est,0.43243243243243246
Growth 1yr Consensus Est,0.32791834387579066
Growth 2yr Low Est,0.037789084181313604
Growth 2yr High Est,0.13131055583885776
Growth 2yr Consensus Est,0.08454982001008568
Growth 5yr Low Est,0.037789084181313604
Growth 5yr High Est,0.13131055583885776
Growth 5yr Consensus Est,0.08454982001008568
Growth 5yr Actual/Est,0.7689074991504657
Growth 3yr Historic,0.7818181818181817
