,TDG
Price/Earnings (TTM),47.7715
Price/Sales (TTM),6.37532
Price/Book (MRQ),
Price/Cash Flow (TTM),30.93084
5yr Low,200.06
5yr High,688.03
5yr Avg Return,0.16424999999999998
EPS Growth 5yr,0.0963299
Revenue Growth 5yr,0.09150080000000001
Dividend Growth 5yr,
Short Int Current Month,1653273.0
Short Int Prev Month,1807801.0
Short Int Pct of Float,0.0313775
Days to Cover,5.09215
Float,52.69015
Shares Outstanding,54.3746
Institutions Holding Shares,856.0
% Held by Institutions,0.959415
FCF Growth 5yr,0.5100515296698566
