,TDG
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.252336448598131
Growth 1yr High Est,0.3543490951546995
Growth 1yr Consensus Est,0.30334277187641523
Growth 2yr Low Est,0.2565164830055331
Growth 2yr High Est,0.26467454757734976
Growth 2yr Consensus Est,0.2605955152914414
Growth 5yr Low Est,0.30987536054443604
Growth 5yr High Est,0.2547962496946812
Growth 5yr Consensus Est,0.28233580511955864
Growth 5yr Actual/Est,0.18156984598366535
Growth 3yr Historic,0.06282791641574717
