,TDG
% Below High,0.1148
% Held by Institutions,0.9594
52-Wk Range,['499.63 - 684.72']
Annual Dividend $,
Annual Dividend %,
Ask,617.4
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.4
Bid,520.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,606.09
Day Change $,-30.45
Day Change %,-0.0478
Day High,620.94
Day Low,602.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",13.32
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),2000.0
Last (time),4:00p ET 11/28/22
Last Trade,606.09
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.77
Prev Close,636.54
Shares Outstanding,54.4M
Short Interest,0.031400000000000004
Today's Open,619.23
Volume,309326.0
Volume 10-day Avg,246559.0
Volume Past Day,(Heavy Day)
