,MTD
Price/Earnings (TTM),39.67013
Price/Sales (TTM),8.28866
Price/Book (MRQ),
Price/Cash Flow (TTM),33.99518
5yr Low,500.74
5yr High,1714.75
5yr Avg Return,0.17525
EPS Growth 5yr,0.18175239999999998
Revenue Growth 5yr,0.08189679999999999
Dividend Growth 5yr,
Short Int Current Month,320709.0
Short Int Prev Month,389785.0
Short Int Pct of Float,0.014602299999999999
Days to Cover,2.34496
Float,21.96424
Shares Outstanding,22.29419
Institutions Holding Shares,1044.0
% Held by Institutions,0.953012
FCF Growth 5yr,0.804454780986133
