,MTD
% Below High,0.15460000000000002
% Held by Institutions,0.953
52-Wk Range,"['1,065.55 - 1,714.75']"
Annual Dividend $,
Annual Dividend %,
Ask,1500.48
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,580.0
Bid Size,200.0
Closing Price,1449.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",36.54
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,32.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.67
Prev Close,1449.69
Shares Outstanding,22.3M
Short Interest,0.0146
Today's Open,
Volume,34695.0
Volume 10-day Avg,102265.0
Volume Past Day,(Light)
