,HOG
Price/Earnings (TTM),9.89744
Price/Sales (TTM),1.23896
Price/Book (MRQ),2.5969
Price/Cash Flow (TTM),7.93747
5yr Low,14.31
5yr High,56.5
5yr Avg Return,0.010350000000000002
EPS Growth 5yr,0.0181251
Revenue Growth 5yr,-0.023056999999999998
Dividend Growth 5yr,-0.15587910000000002
Short Int Current Month,7175354.0
Short Int Prev Month,7607880.0
Short Int Pct of Float,0.049409999999999996
Days to Cover,4.22166
Float,145.2579
Shares Outstanding,146.184
Institutions Holding Shares,514.0
% Held by Institutions,0.860776
FCF Growth 5yr,0.47498939749718566
