,HOG
% Below High,0.0207
% Held by Institutions,0.8608
52-Wk Range,['29.80 - 48.72']
Annual Dividend $,0.63
Annual Dividend %,0.0132
Ask,52.49
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,38.5
Bid Size,200.0
Closing Price,47.71
Day Change $,0.44
Day Change %,0.009300000000000001
Day High,48.03
Day Low,46.91
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.82
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.47500000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,7.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.9
Prev Close,47.27
Shares Outstanding,146.2M
Short Interest,0.049400000000000006
Today's Open,47.17
Volume,356130.0
Volume 10-day Avg,1353765.0
Volume Past Day,(Light)
