,TKR
Price/Earnings (TTM),15.07584
Price/Sales (TTM),1.23493
Price/Book (MRQ),2.60836
Price/Cash Flow (TTM),9.96689
5yr Low,22.26
5yr High,92.39
5yr Avg Return,0.09924999999999999
EPS Growth 5yr,0.2195099
Revenue Growth 5yr,0.0913278
Dividend Growth 5yr,0.0273129
Short Int Current Month,1557233.0
Short Int Prev Month,1627002.0
Short Int Pct of Float,0.0245292
Days to Cover,2.25659
Float,63.51089
Shares Outstanding,72.74359
Institutions Holding Shares,442.0
% Held by Institutions,0.815175
FCF Growth 5yr,16.441419699286524
