,TKR
% Below High,0.0282
% Held by Institutions,0.8151999999999999
52-Wk Range,['50.85 - 75.80']
Annual Dividend $,1.24
Annual Dividend %,0.0165
Ask,75.57
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.6
Bid,72.34
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,73.66
Day Change $,-1.41
Day Change %,-0.018799999999999997
Day High,75.05
Day Low,73.33
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.98
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.369
Last (size),63.0
Last (time),4:10p ET 11/28/22
Last Trade,73.66
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.08
Prev Close,75.07
Shares Outstanding,72.7M
Short Interest,0.0245
Today's Open,74.25
Volume,437754.0
Volume 10-day Avg,434733.0
Volume Past Day,(Average)
