,WYNN
% Below High,0.18960000000000002
% Held by Institutions,0.5799
52-Wk Range,['50.20 - 96.50']
Annual Dividend $,
Annual Dividend %,
Ask,78.6
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.9
Bid,78.3
Bid Size,200.0
Closing Price,78.2
Day Change $,3.27
Day Change %,0.0436
Day High,79.5
Day Low,75.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.54
Ex-dividend Date,No dividend
Historical Volatility,0.5910000000000001
Last (size),18.0
Last (time),3:59p ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,74.93
Shares Outstanding,113.3M
Short Interest,0.0717
Today's Open,78.73
Volume,7484801.0
Volume 10-day Avg,2970708.0
Volume Past Day,(Heavy Day)
