,WYNN
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.15442278860569714
Growth 1yr High Est,-0.7775510204081633
Growth 1yr Consensus Est,-0.4659869045069302
Growth 2yr Low Est,-0.2704738056503663
Growth 2yr High Est,-1.622720464332522
Growth 2yr Consensus Est,-0.9465971349914442
Growth 5yr Low Est,-1.879513649064991
Growth 5yr High Est,-1.9042504355701628
Growth 5yr Consensus Est,-1.8918820423175768
Growth 5yr Actual/Est,-1.8557578339082448
Growth 3yr Historic,-1.5458162600909595
