,CBU
% Above Low,0.1012
% Held by Institutions,0.7434999999999999
52-Wk Range,['59.21 - 78.00']
Annual Dividend $,1.76
Annual Dividend %,0.027000000000000003
Ask,65.55
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,65.2
Day Change $,0.5
Day Change %,0.0077
Day High,65.48
Day Low,64.86
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",3.29
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.23500000000000001
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,64.7
Shares Outstanding,53.7M
Short Interest,0.033
Today's Open,65.14
Volume,57747.0
Volume 10-day Avg,154018.0
Volume Past Day,(Light)
