,TNL
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.21903052064631967
Growth 1yr High Est,-0.20035460992907805
Growth 1yr Consensus Est,-0.20969256528769886
Growth 2yr Low Est,-0.11526238675994144
Growth 2yr High Est,0.022882561997766948
Growth 2yr Consensus Est,-0.046189912381087245
Growth 5yr Low Est,-0.05763119337997072
Growth 5yr High Est,0.011441280998883474
Growth 5yr Consensus Est,-0.023094956190543622
Growth 5yr Actual/Est,-1.420084659720419
Growth 3yr Historic,-1.5125596274702808
