,TNL
% Above Low,0.115
% Held by Institutions,0.9277
52-Wk Range,['33.57 - 63.19']
Annual Dividend $,1.6
Annual Dividend %,0.04190000000000001
Ask,45.5
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.7
Bid,32.5
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,37.43
Day Change $,-0.72
Day Change %,-0.0189
Day High,38.21
Day Low,37.07
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.4
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.465
Last (size),222.0
Last (time),4:10p ET 11/28/22
Last Trade,37.43
Market Cap,3.0B
"P/E Ratio (TTM, GAAP)",8.67
Prev Close,38.15
Shares Outstanding,81.3M
Short Interest,0.036000000000000004
Today's Open,37.73
Volume,669565.0
Volume 10-day Avg,577295.0
Volume Past Day,(Above Average)
