,SJM
% Below High,0.0048
% Held by Institutions,0.7968999999999999
52-Wk Range,['119.82 - 152.36']
Annual Dividend $,4.08
Annual Dividend %,0.027000000000000003
Ask,151.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.2
Bid,151.63
Bid Size,200.0
Day Change $,0.37
Day Change %,0.0024
Day High,152.36
Day Low,150.81
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.24300000000000002
Last (size),100.0
Last (time),2:25p ET 11/28/22
Market Cap,16.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,151.26
Price,151.63
Shares Outstanding,106.6M
Short Interest,0.0354
Today's Open,151.42
Volume Past Day,(Light)
