,SJM
Price/Earnings (TTM),28.31105
Price/Sales (TTM),1.97456
Price/Book (MRQ),1.96273
Price/Cash Flow (TTM),15.73066
5yr Low,91.32
5yr High,152.16
5yr Avg Return,0.05941666666666667
EPS Growth 5yr,0.0274124
Revenue Growth 5yr,0.0158981
Dividend Growth 5yr,0.0579512
Short Int Current Month,3601618.0
Short Int Prev Month,3588635.0
Short Int Pct of Float,0.0353612
Days to Cover,4.51655
Float,101.9155
Shares Outstanding,106.639
Institutions Holding Shares,1168.0
% Held by Institutions,0.796911
FCF Growth 5yr,-0.5153789255384592
