,GPN
Price/Earnings (TTM),453.7747
Price/Sales (TTM),3.08414
Price/Book (MRQ),1.21313
Price/Cash Flow (TTM),16.20753
5yr Low,93.99
5yr High,220.81
5yr Avg Return,0.05628333333333333
Short Int Current Month,4465795.0
Short Int Prev Month,6353553.0
Short Int Pct of Float,0.0166988
Days to Cover,1.30045
Float,267.4692
Shares Outstanding,270.4012
Institutions Holding Shares,1180.0
% Held by Institutions,0.8912019999999999
FCF Growth 5yr,0.09253143704451527
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
