,GPN
% Above Low,0.08199999999999999
% Held by Institutions,0.8912
52-Wk Range,['93.99 - 153.76']
Annual Dividend $,1.0
Annual Dividend %,0.0098
Ask,127.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,94.0
Bid Size,100.0
Closing Price,101.7
Day Change $,1.53
Day Change %,0.015300000000000001
Day High,102.42
Day Low,100.23
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.22
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.41100000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,27.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",453.77
Prev Close,100.17
Shares Outstanding,270.4M
Short Interest,0.0167
Today's Open,100.29
Volume,967836.0
Volume 10-day Avg,2311189.0
Volume Past Day,(Light)
