,GPN
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,0.2293333333333334
Growth 1yr High Est,0.18203883495145634
Growth 1yr Consensus Est,0.20568608414239486
Growth 2yr Low Est,0.14666232827187276
Growth 2yr High Est,0.15621448934431126
Growth 2yr Consensus Est,0.151438408808092
Growth 5yr Low Est,0.12753086584952966
Growth 5yr High Est,0.15714892538218822
Growth 5yr Consensus Est,0.14233989561585894
Growth 5yr Actual/Est,0.14130512735640877
Growth 3yr Historic,0.07598472668810291
