,AIZ
% Above Low,0.0797
% Held by Institutions,0.9692000000000001
52-Wk Range,['119.01 - 194.12']
Annual Dividend $,2.8
Annual Dividend %,0.0218
Ask,128.89
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,
Bid Size,
Closing Price,128.49
Day Change $,2.15
Day Change %,0.017
Day High,128.68
Day Low,127.25
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.29600000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,126.34
Shares Outstanding,52.8M
Short Interest,0.0196
Today's Open,127.62
Volume,225408.0
Volume 10-day Avg,578361.0
Volume Past Day,(Light)
