,AIZ
Price/Earnings (TTM),21.54611
Price/Sales (TTM),0.67122
Price/Book (MRQ),1.65802
Price/Cash Flow (TTM),13.64759
5yr Low,76.27
5yr High,194.12
5yr Avg Return,0.06576666666666665
EPS Growth 5yr,0.0209612
Revenue Growth 5yr,0.0620802
Dividend Growth 5yr,0.0555459
Short Int Current Month,1025255.0
Short Int Prev Month,1123682.0
Short Int Pct of Float,0.0196068
Days to Cover,1.3851
Float,52.33258
Shares Outstanding,52.83143
Institutions Holding Shares,666.0
% Held by Institutions,0.969157
FCF Growth 5yr,-1.197811494668556
