,GRWG
Price/Earnings (TTM),
Price/Sales (TTM),1.13216
Price/Book (MRQ),1.54121
Price/Cash Flow (TTM),
5yr Low,2.05
5yr High,67.75
5yr Avg Return,1.4286666666666668
EPS Growth 5yr,
Revenue Growth 5yr,1.211859
Dividend Growth 5yr,
Short Int Current Month,7292143.0
Short Int Prev Month,7112367.0
Short Int Pct of Float,0.12683070000000002
Days to Cover,1.37271
Float,57.49507
Shares Outstanding,60.92909
Institutions Holding Shares,223.0
% Held by Institutions,0.448241
FCF Growth 5yr,-0.3920584327520822
