,GRWG
% Above Low,1.0
% Held by Institutions,0.4482
52-Wk Range,['2.92 - 18.40']
Annual Dividend $,
Annual Dividend %,
Ask,5.98
Ask Size,500.0
B/A Ratio,14.0
B/A Size,7000x500
Beta,3.0
Bid,5.97
Bid Size,7000.0
Closing Price,5.84
Day Change $,-0.33
Day Change %,-0.0535
Day High,6.19
Day Low,5.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.52
Ex-dividend Date,No dividend
Historical Volatility,1.003
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,355.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.17
Shares Outstanding,60.9M
Short Interest,0.1268
Today's Open,6.17
Volume,837201.0
Volume 10-day Avg,3373852.0
Volume Past Day,(Light)
