,COTY
% Above Low,0.2847
% Held by Institutions,0.3448
52-Wk Range,['5.90 - 10.82']
Annual Dividend $,
Annual Dividend %,
Ask,8.1
Ask Size,10000.0
B/A Ratio,0.05
B/A Size,500x10000
Beta,1.9
Bid,7.09
Bid Size,500.0
Closing Price,7.58
Day Change $,-0.01
Day Change %,-0.0013
Day High,7.64
Day Low,7.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.08
Ex-dividend Date,No dividend
Historical Volatility,0.53
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",91.09
Prev Close,7.59
Shares Outstanding,850.1M
Short Interest,0.04650000000000001
Today's Open,7.53
Volume,1261009.0
Volume 10-day Avg,6026423.0
Volume Past Day,(Light)
