,COTY
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.03846153846153855
Growth 1yr High Est,-0.02941176470588236
Growth 1yr Consensus Est,0.004524886877828094
Growth 2yr Low Est,0.1673789173789173
Growth 2yr High Est,0.18226381461675584
Growth 2yr Consensus Est,0.17482136599783657
Growth 5yr Low Est,0.1673789173789173
Growth 5yr High Est,0.18226381461675584
Growth 5yr Consensus Est,0.17482136599783657
Growth 5yr Actual/Est,6.596026785714287
Growth 3yr Historic,6.490000000000001
