,COTY
Price/Earnings (TTM),91.09482
Price/Sales (TTM),1.21064
Price/Book (MRQ),2.10947
Price/Cash Flow (TTM),11.22231
5yr Low,2.65
5yr High,21.68
5yr Avg Return,0.011016666666666673
EPS Growth 5yr,
Revenue Growth 5yr,-0.0706238
Dividend Growth 5yr,
Short Int Current Month,16348262.0
Short Int Prev Month,22601991.0
Short Int Pct of Float,0.0465134
Days to Cover,1.99328
Float,351.5861
Shares Outstanding,850.1125
Institutions Holding Shares,394.0
% Held by Institutions,0.344773
FCF Growth 5yr,-0.3309295421333724
