,RCKT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.09677419354838701
Growth 1yr High Est,0.06837606837606836
Growth 1yr Consensus Est,0.08257513096222768
Growth 2yr Low Est,0.18809297912713463
Growth 2yr High Est,-0.17781196581196584
Growth 2yr Consensus Est,0.005140506657584393
Growth 5yr Low Est,0.18809297912713463
Growth 5yr High Est,-0.17781196581196584
Growth 5yr Consensus Est,0.005140506657584393
Growth 5yr Actual/Est,0.19145269465280845
Growth 3yr Historic,0.16361512959614222
