,RCKT
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.43522
Price/Cash Flow (TTM),
5yr Low,7.57
5yr High,67.48
5yr Avg Return,0.27321666666666666
Short Int Current Month,7807541.0
Short Int Prev Month,9403190.0
Short Int Pct of Float,0.10800710000000001
Days to Cover,9.41858
Float,72.28728
Shares Outstanding,75.68442
Institutions Holding Shares,234.0
% Held by Institutions,0.890796
FCF Growth 5yr,0.29055606352966107
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
