,RCKT
% Below High,0.2994
% Held by Institutions,0.8908
52-Wk Range,['7.57 - 25.62']
Annual Dividend $,
Annual Dividend %,
Ask,17.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,17.94
Bid Size,100.0
Day Change $,-0.65
Day Change %,-0.0349
Day High,18.62
Day Low,17.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.06
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),117.0
Last (time),12:22p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,18.6
Price,17.95
Shares Outstanding,75.7M
Short Interest,0.10800000000000001
Today's Open,18.28
Volume Past Day,(Light)
