,FTNT
% Above Low,0.24170000000000003
% Held by Institutions,0.6631
52-Wk Range,['42.61 - 74.35']
Annual Dividend $,
Annual Dividend %,
Ask,52.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,52.82
Bid Size,100.0
Closing Price,52.91
Day Change $,-0.44
Day Change %,-0.008199999999999999
Day High,53.48
Day Low,52.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.91
Ex-dividend Date,No dividend
Historical Volatility,0.5760000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,41.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",58.08
Prev Close,53.35
Shares Outstanding,781.2M
Short Interest,0.016399999999999998
Today's Open,53.08
Volume,2117775.0
Volume 10-day Avg,4884696.0
Volume Past Day,(Light)
