,FTNT
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.7131782945736433
Growth 1yr High Est,-0.6975
Growth 1yr Consensus Est,-0.7053391472868217
Growth 2yr Low Est,-0.2935260842237587
Growth 2yr High Est,-0.18759297520661156
Growth 2yr Consensus Est,-0.24055952971518513
Growth 5yr Low Est,0.011480574175215197
Growth 5yr High Est,0.049361180844578245
Growth 5yr Consensus Est,0.03042087750989672
Growth 5yr Actual/Est,0.3040670234674012
Growth 3yr Historic,0.14034419738044474
