,TBPH
% Below High,0.20350000000000001
% Held by Institutions,0.9464
52-Wk Range,['7.53 - 13.17']
Annual Dividend $,
Annual Dividend %,
Ask,11.77
Ask Size,100.0
Ask close,12.92
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,10.0
Bid Size,200.0
Bid close,8.2
Change Since Close,0.00| |(0.00%)
Closing Price,10.49
Day Change $,-0.11
Day Change %,-0.0104
Day High,10.67
Day Low,10.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.1
Ex-dividend Date,No dividend
Historical Volatility,0.551
Last (size),78900.0
Last (time),4:00p ET 11/28/22
Last Trade,10.49
Market Cap,706.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.6
Shares Outstanding,67.4M
Short Interest,0.12890000000000001
Today's Open,10.53
Volume,730803.0
Volume 10-day Avg,1035642.0
Volume Past Day,(Light)
