,TBPH
Price/Earnings (TTM),
Price/Sales (TTM),13.82721
Price/Book (MRQ),1.48588
Price/Cash Flow (TTM),
5yr Low,6.1
5yr High,35.48
5yr Avg Return,-0.1433
EPS Growth 5yr,
Revenue Growth 5yr,0.0260046
Dividend Growth 5yr,
Short Int Current Month,7719911.0
Short Int Prev Month,7454922.0
Short Int Pct of Float,0.12893480000000002
Days to Cover,6.50838
Float,59.93755
Shares Outstanding,67.36591
Institutions Holding Shares,174.0
% Held by Institutions,0.946426
FCF Growth 5yr,0.07891039719730042
