,TBPH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.8129032258064517
Growth 1yr High Est,-3.593896713615024
Growth 1yr Consensus Est,-2.2033999697107376
Growth 2yr Low Est,-0.228290693362996
Growth 2yr High Est,-2.210070528753213
Growth 2yr Consensus Est,-1.2191806110581047
Growth 5yr Low Est,-0.10865084118699248
Growth 5yr High Est,-1.049000781617986
Growth 5yr Consensus Est,-0.5788258114024891
Growth 5yr Actual/Est,-0.7819433055222891
Growth 3yr Historic,-0.076772619361646
