,EBS
Price/Earnings (TTM),14.50671
Price/Sales (TTM),0.39228
Price/Book (MRQ),0.40972
Price/Cash Flow (TTM),3.084
5yr Low,11.58
5yr High,137.61
5yr Avg Return,-0.04759999999999998
EPS Growth 5yr,0.2748742
Revenue Growth 5yr,0.29681640000000004
Dividend Growth 5yr,
Short Int Current Month,2570426.0
Short Int Prev Month,2155558.0
Short Int Pct of Float,0.0574251
Days to Cover,2.19513
Float,44.81273
Shares Outstanding,49.88822
Institutions Holding Shares,293.0
% Held by Institutions,0.817733
FCF Growth 5yr,
