,EBS
% Above Low,0.0279
% Held by Institutions,0.8177
52-Wk Range,['11.58 - 52.28']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,10.8
Bid Size,300.0
Closing Price,11.9
Day Change $,0.07
Day Change %,0.0059
Day High,12.17
Day Low,11.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.82
Ex-dividend Date,No dividend
Historical Volatility,0.7590000000000001
Last (size),7.0
Last (time),5:00p ET 11/25/22
Market Cap,593.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.51
Prev Close,11.83
Shares Outstanding,49.9M
Short Interest,0.0574
Today's Open,11.68
Volume,373282.0
Volume 10-day Avg,1043344.0
Volume Past Day,(Light)
