,TTI
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-4.75
Growth 1yr High Est,-5.5
Growth 1yr Consensus Est,-5.125
Growth 2yr Low Est,-1.9416666666666664
Growth 2yr High Est,-2.3055555555555554
Growth 2yr Consensus Est,-2.123611111111111
Growth 5yr Low Est,-1.9416666666666664
Growth 5yr High Est,-2.3055555555555554
Growth 5yr Consensus Est,-2.123611111111111
Growth 5yr Actual/Est,-0.3461805555555555
Growth 3yr Historic,0.46944444444444433
