,TTI
% Above Low,0.5345000000000001
% Held by Institutions,0.6144
52-Wk Range,['2.32 - 5.82']
Annual Dividend $,
Annual Dividend %,
Ask,3.84
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,2.6
Bid,3.33
Bid Size,100.0
Closing Price,3.56
Day Change $,-0.12
Day Change %,-0.0326
Day High,3.65
Day Low,3.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.07
Ex-dividend Date,No dividend
Historical Volatility,0.7090000000000001
Last (size),500.0
Last (time),7:00p ET 11/28/22
Market Cap,457.9M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",54.15
Prev Close,3.68
Shares Outstanding,128.6M
Short Interest,0.0152
Today's Open,3.57
Volume,514230.0
Volume 10-day Avg,1108192.0
Volume Past Day,(Light)
