,GVA
Price/Earnings (TTM),52.3267
Price/Sales (TTM),0.58814
Price/Book (MRQ),1.63195
Price/Cash Flow (TTM),14.23335
5yr Low,8.9
5yr High,68.58
5yr Avg Return,-0.06515
EPS Growth 5yr,
Revenue Growth 5yr,0.0366221
Dividend Growth 5yr,0.0
Short Int Current Month,5345341.0
Short Int Prev Month,5292084.0
Short Int Pct of Float,0.12307359999999999
Days to Cover,16.67886
Float,43.45542
Shares Outstanding,43.73006
Institutions Holding Shares,255.0
% Held by Institutions,0.958091
FCF Growth 5yr,0.30709230213286726
