,GVA
% Below High,0.1429
% Held by Institutions,0.9581000000000001
52-Wk Range,['25.35 - 41.42']
Annual Dividend $,0.52
Annual Dividend %,0.0146
Ask,39.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.4
Bid,28.0
Bid Size,100.0
Closing Price,35.5
Day Change $,0.61
Day Change %,0.0175
Day High,35.63
Day Low,35.06
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",0.68
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.344
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.33
Prev Close,34.89
Shares Outstanding,43.7M
Short Interest,0.1231
Today's Open,35.12
Volume,73787.0
Volume 10-day Avg,225398.0
Volume Past Day,(Light)
