,LVS
Price/Earnings (TTM),
Price/Sales (TTM),8.2452
Price/Book (MRQ),8.45689
Price/Cash Flow (TTM),
5yr Low,28.88
5yr High,81.45
5yr Avg Return,-0.043133333333333336
EPS Growth 5yr,
Revenue Growth 5yr,-0.1778375
Dividend Growth 5yr,
Short Int Current Month,16425927.0
Short Int Prev Month,18567432.0
Short Int Pct of Float,0.04976149999999999
Days to Cover,2.68453
Float,330.0929
Shares Outstanding,764.1663
Institutions Holding Shares,805.0
% Held by Institutions,0.398196
FCF Growth 5yr,0.28932058951448675
