,LVS
% Below High,0.1057
% Held by Institutions,0.3982
52-Wk Range,['28.88 - 48.27']
Annual Dividend $,
Annual Dividend %,
Ask,44.8
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,1.1
Bid,44.6
Bid Size,500.0
Change Since Close,1.45| |(3.36%)
Closing Price,43.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),14.0
Last (time),5:00p ET 11/25/22
Last Trade,44.62
Market Cap,33.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,43.17
Shares Outstanding,764.2M
Short Interest,0.049800000000000004
Today's Open,
Volume,21673.0
Volume 10-day Avg,4916806.0
Volume Past Day,(Light)
