,HIBB
Price/Earnings (TTM),8.86682
Price/Sales (TTM),0.55204
Price/Book (MRQ),2.7123
Price/Cash Flow (TTM),5.9116
5yr Low,7.33
5yr High,101.65
5yr Avg Return,0.31323333333333336
EPS Growth 5yr,0.3265477
Revenue Growth 5yr,0.11691259999999999
Dividend Growth 5yr,
Short Int Current Month,1692252.0
Short Int Prev Month,1578164.0
Short Int Pct of Float,0.143708
Days to Cover,8.01032
Float,11.79851
Shares Outstanding,12.80657
Institutions Holding Shares,266.0
% Held by Institutions,0.9803310000000001
FCF Growth 5yr,-1.5658082269141638
