,HIBB
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.19964028776978404
Growth 1yr High Est,-0.09131602506714409
Growth 1yr Consensus Est,-0.14547815641846407
Growth 2yr Low Est,-0.06049430118826282
Growth 2yr High Est,0.029218834757068324
Growth 2yr Consensus Est,-0.01563773321559725
Growth 5yr Low Est,0.5799969920921416
Growth 5yr High Est,0.583155910037588
Growth 5yr Consensus Est,0.5815764510648648
Growth 5yr Actual/Est,0.6053776094156189
Growth 3yr Historic,0.6137602036522762
