,LIND
Price/Earnings (TTM),
Price/Sales (TTM),1.40955
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.01
5yr High,21.91
5yr Avg Return,0.016783333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.09501889999999999
Dividend Growth 5yr,
Short Int Current Month,6306695.0
Short Int Prev Month,6833595.0
Short Int Pct of Float,0.18510739999999998
Days to Cover,13.21549
Float,34.03357
Shares Outstanding,53.1412
Institutions Holding Shares,162.0
% Held by Institutions,0.709033
FCF Growth 5yr,1.6607473526130134
