,LIND
% Above Low,0.6565000000000001
% Held by Institutions,0.7090000000000001
52-Wk Range,['5.91 - 19.13']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.1
Bid,
Bid Size,
Closing Price,9.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.17
Ex-dividend Date,No dividend
Historical Volatility,0.876
Last (size),16.0
Last (time),1:00p ET 11/25/22
Market Cap,520.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.79
Shares Outstanding,53.1M
Short Interest,0.18510000000000001
Today's Open,
Volume,52255.0
Volume 10-day Avg,270028.0
Volume Past Day,(Light)
