,LIND
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.11157024793388426
Growth 1yr High Est,-0.12
Growth 1yr Consensus Est,-0.11578512396694213
Growth 2yr Low Est,-0.486017682106477
Growth 2yr High Est,-0.5574747474747475
Growth 2yr Consensus Est,-0.5217462147906122
Growth 5yr Low Est,-2.4079786751407197
Growth 5yr High Est,-1.8886465206422087
Growth 5yr Consensus Est,-2.1483125978914646
Growth 5yr Actual/Est,-2.2659028246608366
Growth 3yr Historic,-1.9948916133617622
