,AMWL
Price/Earnings (TTM),
Price/Sales (TTM),3.77445
Price/Book (MRQ),0.94166
Price/Cash Flow (TTM),
5yr Low,2.52
5yr High,43.75
5yr Avg Return,-0.3876333333333333
Short Int Current Month,11727743.0
Short Int Prev Month,13737560.0
Short Int Pct of Float,0.0547605
Days to Cover,6.35914
Float,187.6839
Shares Outstanding,275.4096
Institutions Holding Shares,216.0
% Held by Institutions,0.533728
FCF Growth 5yr,0.20427636879249786
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
