,LXU
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-1.785498489425982
Growth 1yr High Est,-1.8610271903323263
Growth 1yr Consensus Est,-1.8232628398791542
Growth 2yr Low Est,-1.0331338600976063
Growth 2yr High Est,-0.8094609635872159
Growth 2yr Consensus Est,-0.9212974118424111
Growth 5yr Low Est,-0.5165669300488032
Growth 5yr High Est,-0.40473048179360793
Growth 5yr Consensus Est,-0.46064870592120555
Growth 5yr Actual/Est,0.24117728068524852
Growth 3yr Historic,-0.32275290677435076
