,LXU
% Above Low,0.8634000000000001
% Held by Institutions,0.371
52-Wk Range,['8.13 - 27.45']
Annual Dividend $,
Annual Dividend %,
Ask,17.99
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,13.9
Bid Size,200.0
Closing Price,15.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.788
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",6.52
Prev Close,15.14
Shares Outstanding,82.0M
Short Interest,0.036000000000000004
Today's Open,
Volume,1125343.0
Volume 10-day Avg,1213640.0
Volume Past Day,(Average)
