,MNRO
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.22448979591836737
Growth 1yr High Est,-0.2211981566820277
Growth 1yr Consensus Est,-0.22284397630019753
Growth 2yr Low Est,-0.006981740064446851
Growth 2yr High Est,-0.004090202601368886
Growth 2yr Consensus Est,-0.005535971332907869
Growth 5yr Low Est,-0.0034908700322234254
Growth 5yr High Est,-0.002045101300684443
Growth 5yr Consensus Est,-0.0027679856664539343
Growth 5yr Actual/Est,0.06958980910735296
Growth 3yr Historic,0.04820175438596494
