,MNRO
% Above Low,0.23149999999999998
% Held by Institutions,1.1233
52-Wk Range,['37.49 - 60.86']
Annual Dividend $,1.12
Annual Dividend %,0.024300000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,46.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.48
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.401
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",31.1
Prev Close,46.17
Shares Outstanding,31.5M
Short Interest,0.12269999999999999
Today's Open,
Volume,109834.0
Volume 10-day Avg,263099.0
Volume Past Day,(Light)
