,APEI
Price/Earnings (TTM),
Price/Sales (TTM),0.395
Price/Book (MRQ),0.76143
Price/Cash Flow (TTM),
5yr Low,7.83
5yr High,46.15
5yr Avg Return,-0.08271666666666666
EPS Growth 5yr,-0.0817727
Revenue Growth 5yr,0.0598747
Dividend Growth 5yr,
Short Int Current Month,525258.0
Short Int Prev Month,862484.0
Short Int Pct of Float,0.0285533
Days to Cover,3.84841
Float,18.41623
Shares Outstanding,18.89208
Institutions Holding Shares,161.0
% Held by Institutions,0.87224
FCF Growth 5yr,1.6058986687653352
