,APEI
% Above Low,0.6243
% Held by Institutions,0.8722
52-Wk Range,['7.83 - 24.73']
Annual Dividend $,
Annual Dividend %,
Ask,13.98
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,0.7
Bid,12.2
Bid Size,500.0
Closing Price,12.71
Day Change $,-0.18
Day Change %,-0.013999999999999999
Day High,12.99
Day Low,12.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.25
Ex-dividend Date,No dividend
Historical Volatility,0.585
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,240.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,12.89
Shares Outstanding,18.9M
Short Interest,0.0286
Today's Open,12.99
Volume,57560.0
Volume 10-day Avg,106805.0
Volume Past Day,(Light)
